"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ENGR","100","CME ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","2","0","0","0","0","23","1","1","Narubin Durbin, Simona Ieva","27"
"ENGR","100","CS ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","36","0","0","0","0","301","4","7","Narubin Durbin, Simona Ieva","348"
"ENGR","100","CS ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","1","0","0","0","0","10","0","1","Troy, Patrick A","12"
"ENGR","100","CS ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","8","0","0","0","0","115","6","2","Narubin Durbin, Simona Ieva","131"
"ENGR","100","ECE ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","41","0","0","0","0","144","3","2","Narubin Durbin, Simona Ieva","190"
"ENGR","100","ECE ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","3","0","0","0","0","32","1","0","Narubin Durbin, Simona Ieva","36"
"ENGR","100","Engineering Orientation","2284","Engineering Admin","0","0","0","0","0","0","0","0","0","0","0","0","0","61","7","2","Narubin Durbin, Simona Ieva","70"
"ENGR","100","MIE ENGR Orientation-Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","20","0","0","0","0","120","0","4","Narubin Durbin, Simona Ieva","144"
"ENGR","100","MIE ENGR Orientation-no Fresh","2284","Engineering Admin","0","0","0","0","0","0","0","0","3","0","0","0","0","57","0","0","Narubin Durbin, Simona Ieva","60"
"ENGR","111","Pract Additive Manufacturing","2284","Engineering Admin","0","0","0","0","0","0","0","0","0","0","0","0","0","64","7","1","Lynch, Dylan J","72"
"ENGR","494","DuSable Trailblazing Scholar","2284","Engineering Admin","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Abiade, Jeremiah T","29"
"IE","118","Energy for Sustainable Society","2323","Mechanical & Industrial Engr","10","11","2","2","0","0","0","0","1","0","0","0","0","0","0","0","Alonso, Matthew Paul","26"
"IE","201","Financial Engineering","2323","Mechanical & Industrial Engr","79","48","34","14","5","0","0","0","0","0","0","0","0","0","0","4","Haghighi, Azadeh","184"
"IE","342","Probability & Stat for Engr","2323","Mechanical & Industrial Engr","22","13","7","7","6","0","0","0","0","0","0","0","0","0","0","8","Brezinsky, Kenneth","63"
"IE","342","Probability & Stat for Engr","2323","Mechanical & Industrial Engr","19","20","20","15","8","0","0","0","0","0","0","0","0","0","0","7","Li, Lin","89"
"IE","342","Probability & Stat for Engr","2323","Mechanical & Industrial Engr","29","40","21","8","4","0","0","0","0","0","0","0","0","0","0","2","Nicolsen, Brynne E","104"
"IE","345","Regr Analysis & Forecast","2323","Mechanical & Industrial Engr","8","13","3","1","0","0","0","0","3","0","0","0","0","0","0","0","Huang, Jida","28"
"IE","365","Work Productivity Analysis","2323","Mechanical & Industrial Engr","26","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Williams, Quintin Levurn","29"
"IE","380","Manufacturing Process Princ","2323","Mechanical & Industrial Engr","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shahbazian-Yassar, Reza","11"
"IE","396","Senior Design Project","2323","Mechanical & Industrial Engr","12","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Brown, Michael A","14"
"IE","441","Ergonomics & Human Factors","2323","Mechanical & Industrial Engr","19","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Williams, Quintin Levurn","25"
"IE","461","Safety Engineering","2323","Mechanical & Industrial Engr","41","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Williams, Quintin Levurn","50"
"IE","467","Discrete Event Simulation","2323","Mechanical & Industrial Engr","15","25","11","4","0","0","0","0","0","0","0","0","0","0","0","0","Li, Lin","55"
"IE","471","Operations Research I","2323","Mechanical & Industrial Engr","29","15","4","0","0","0","0","0","0","0","0","0","0","0","0","1","He, David Weihua","49"
"IE","473","Stochastic Processes & Queuing","2323","Mechanical & Industrial Engr","31","15","4","3","0","0","0","0","0","0","0","0","0","0","0","0","He, David Weihua","53"
"IE","594","Data Science 1","2323","Mechanical & Industrial Engr","26","8","7","4","0","0","0","0","0","0","0","0","0","0","0","0","Anahideh, Hadis","45"
"IE","595","Industrial Engineering Seminar","2323","Mechanical & Industrial Engr","0","0","0","0","0","0","0","0","0","0","0","0","0","78","1","0","Hatami Marbini, Hamed","79"
"ME","118","Energy for Sustainable Society","2323","Mechanical & Industrial Engr","8","3","2","1","1","0","0","0","1","0","0","0","0","0","0","1","Alonso, Matthew Paul","17"
