"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"HIST","104","Modern America","2316","History","18","39","19","10","9","0","0","0","0","0","0","0","0","0","0","5","Whisenhunt, William Benton","100"
"HIST","106","World since 1400","2316","History","13","31","12","7","12","0","0","0","0","0","0","0","0","0","0","10","Hoppe, Kirk A","85"
"HIST","137","Russia in War and Revolution","2316","History","65","7","4","3","8","0","0","0","1","0","0","0","0","0","0","12","Daly, Jonathan W.","100"
"HIST","199","Chicago and the World","2316","History","15","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Bui, Long B","20"
"HIST","199","Chicago and the World","2316","History","8","18","6","2","1","0","0","0","1","0","0","0","0","0","0","0","Davis, Cory A","36"
"HIST","199","Chicago and the World","2316","History","1","10","7","1","2","0","0","0","0","0","0","0","0","0","0","0","Hoxmeier, Joshua Alan","21"
"HIST","199","Chicago and the World","2316","History","11","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Kaya, Mustafa Ismail","17"
"HIST","199","Chicago and the World","2316","History","13","2","2","3","0","0","0","0","0","0","0","0","0","0","0","1","Ribera, Paul Eduardo","21"
"HIST","202","Ancient Greece","2316","History","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Papakonstantinou, Zinon","14"
"HIST","204","Greek Art & Archaeology","2349","Classics & Mediterran Studies","5","1","2","1","2","0","0","0","0","0","0","0","0","0","0","0","Ros, Karen E","11"
"HIST","210","Asian American Histories","2873","Prog in Global Asian Studies","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Jin, Michael","13"
"HIST","213","Europe: 1815 -1914","2316","History","12","15","6","2","1","0","0","0","1","0","0","0","0","0","0","1","Abbott, John","38"
"HIST","221","The Atlantic Slave Trade","2316","History","5","2","4","1","3","0","0","0","2","0","0","0","0","0","0","1","Hoppe, Kirk A","18"
"HIST","240","Radicalism in America","2316","History","6","12","1","0","4","0","0","0","2","0","0","0","0","0","0","3","Sklansky, Jeffrey","28"
"HIST","247","African American Hist to 1877","2363","Black Studies","3","4","1","2","0","0","0","0","0","0","0","0","0","0","0","1","Blair, Cynthia M","11"
"HIST","255","History of Chicago","2316","History","46","29","9","3","7","0","0","0","0","0","0","0","0","0","0","4","Bui, Long B","98"
"HIST","257","U.S. Immigration History","2316","History","17","2","3","1","1","0","0","0","0","0","0","0","0","0","0","0","Padilla-Rodriguez, Ivon","24"
"HIST","262","Latin Amer since 1850","2316","History","7","9","5","3","5","0","0","0","0","0","0","0","0","0","0","3","Evans, Kathryn Elizabeth","32"
"HIST","266","Modern Mexico","2316","History","5","23","9","4","4","0","0","0","0","0","0","0","0","0","0","5","Gonzalez, Fredy","50"
"HIST","271","Late Imperial China","2316","History","21","9","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Hostetler, Laura E","32"
"HIST","276","Modern South Asia","2316","History","17","10","1","3","1","0","0","0","0","0","0","0","0","0","0","2","Majumdar, Sohini","34"
"HIST","278","Middle East since 1258","2316","History","5","5","3","0","3","0","0","0","0","0","0","0","0","0","0","0","Cuyler, Zachary","16"
"HIST","288","History of Puerto Rico","2988","Latin American &Latino Studies","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lopez, Jose Elias","10"
"HIST","296","Fascism Europe & Mediterr","2349","Classics & Mediterran Studies","6","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","Doumanis, Nicholas","14"
"HIST","300","Topics in Rsch and Writng","2316","History","9","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Rothmund, David C","14"
"HIST","300","Topics in Rsch and Writng","2316","History","7","5","1","0","0","0","0","0","0","0","0","0","0","0","0","2","Whisenhunt, William Benton","15"
"HIST","420","Teaching the Social Sciences","2316","History","23","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","Peters, Julie L","26"
"HIST","440","History Research Seminar","2316","History","10","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Hostetler, Laura E","14"
"HIST","453","Topics 19th Cent US Hist","2316","History","7","7","3","2","1","0","0","0","0","0","0","0","0","0","0","1","Hudson, Lynn","21"
"HIST","457","Childhood & Race in US History","2316","History","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Padilla-Rodriguez, Ivon","18"
